Dataset,ReEntry,Method,Top_N,Stop_Loss,Z_Window,Vol_Adjust,Final_Equity,Cum_Ret,Ann_Ret,Sharpe,MDD,Entries,Stop_Losses,Gross_Profit,Gross_Loss,Total_Trades,Win_Rate,Profit_Factor,_path
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,20,NoVolAdj,8508.262,-0.14923567,-0.039599657,-1.7664207726852386,-0.15304403,979,158,2906.341796875,-4398.0810546875,1957,0.2917731221257026,0.660820426166863,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,20,NoVolAdj,8497.237,-0.14899933,-0.03953296,-1.9108754450505263,-0.15091197,892,75,2730.69091796875,-4233.453125,1787,0.2915500839395635,0.6450268462506598,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin20_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,0,VolAdj,9519.8545,-0.048594236,-0.012376428,-1.7380814841424412,-0.054120924,2617,1597,1454.003662109375,-1934.1488037109375,5298,0.24009060022650056,0.7517537737115488,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin0_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,60,VolAdj,9372.958,-0.062275946,-0.015946388,-1.2910903650132917,-0.07593427,2491,1231,2019.124267578125,-2646.16650390625,5046,0.27269124058660327,0.763037497677304,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin60_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,60,NoVolAdj,9154.464,-0.0853436,-0.022054851,-1.261930450147774,-0.11269954,401,152,1695.962890625,-2541.4990234375,813,0.25953259532595324,0.6673081024171036,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,20,VolAdj,8534.293,-0.14528799,-0.038487434,-1.8893376334884395,-0.14720036,894,65,2702.482421875,-4168.1884765625,1789,0.2917831190609279,0.6483589782637982,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin20_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,60,VolAdj,9353.768,-0.065794766,-0.016870856,-0.7956396354027808,-0.09879723,450,137,1929.5775146484375,-2575.809814453125,907,0.2701212789415656,0.7491149011939415,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin60_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,60,NoVolAdj,9254.772,-0.07568258,-0.019482672,-1.170836331756793,-0.10179989,414,157,1724.30078125,-2469.5283203125,836,0.2583732057416268,0.6982308188439009,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin60_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.05,0,NoVolAdj,9409.814,-0.057810962,-0.014777064,-1.3403122472561546,-0.059008893,480,308,1121.7147216796875,-1711.90087890625,971,0.2121524201853759,0.655245134517579,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.05,0,NoVolAdj,9373.28,-0.063256145,-0.016203642,-1.563460293049904,-0.06528748,393,266,1026.85888671875,-1653.578369140625,795,0.20628930817610064,0.6209919686191921,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL5_ZWin0_NoVolAdj.csv
