Date,Equity,Daily_Return,Drawdown
2021-07-07,9950.2697,-5.294048571891086e-05,-0.014286406884647218
2021-07-08,9943.6715,-0.0006631177042367709,-0.014940051019548872
2021-07-09,9948.7219,0.0005079009297521697,-0.014439738155600068
2021-07-12,9949.5533,8.356852351054656e-05,-0.014357376339687145
2021-07-13,9940.6214,-0.0008977186945668958,-0.015242206149108983
2021-07-14,9935.7174,-0.0004933293204386624,-0.015728016042346193
2021-07-15,9937.9925,0.0002289819555456596,-0.015502635518670704
2021-07-16,9936.8504,-0.0001149226063513753,-0.015615776521743063
2021-07-19,9936.6174,-2.3448073647180934e-05,-0.01563885843551227
2021-07-20,9942.67,0.0006091207657850095,-0.015039263623153443
2021-07-21,9944.6843,0.00020259145682199886,-0.014839718992658457
2021-07-22,9941.6379,-0.0003063345107899851,-0.015141507585390457
2021-07-23,9941.3633,-2.76212031419254e-05,-0.01516871056187552
2021-07-26,9944.0448,0.0002697316171915709,-0.01490307042551442
2021-07-27,9920.5593,-0.0023617653049993192,-0.017229638175844775
2021-07-28,9905.3438,-0.0015337340909801211,-0.01873694658337932
2021-07-29,9909.5527,0.0004249120560559927,-0.018319996081820333
2021-07-30,9922.8906,0.001345963879883394,-0.016998690254942717
2021-08-02,9902.5936,-0.0020454725158413067,-0.019009392417062232
2021-08-03,9925.4941,0.0023125759699964554,-0.016740777111173832
2021-08-04,9929.0619,0.00035945817548777015,-0.01638733654488267
2021-08-05,9941.3003,0.001232583714681157,-0.015174951594353892
2021-08-06,9940.0471,-0.00012605996823178423,-0.015299098608669737
2021-08-09,9939.5789,-4.710239250271808e-05,-0.015345480377024878
2021-08-10,9928.5514,-0.0011094534397226852,-0.01643790872075901
2021-08-11,9925.9142,-0.000265617802008955,-0.016699160321584028
2021-08-12,9921.4069,-0.0004540941931574505,-0.017145671523008832
2021-08-13,9910.6729,-0.001081903011154628,-0.018209024580514432
2021-08-16,9902.929,-0.000781369749373928,-0.018976166348915524
2021-08-17,9889.1958,-0.001386781627940592,-0.02033663217799475
2021-08-18,9890.6372,0.00014575502691527298,-0.020193841317449945
2021-08-19,9888.9598,-0.00016959473551392268,-0.020360011283786617
2021-08-20,9890.4064,0.00014628434428454185,-0.020216705290402315
2021-08-23,9883.5842,-0.0006897795423250752,-0.02089253976300487
2021-08-24,9876.4493,-0.0007218939865963891,-0.02159935155078163
2021-08-25,9873.3522,-0.0003135843566777208,-0.021906162688698605
2021-08-26,9865.1931,-0.0008263758685727041,-0.022714435833052327
2021-08-27,9870.2369,0.0005112723034279565,-0.022214776791553703
2021-08-30,9859.6441,-0.0010732062570859568,-0.023264142011187205
2021-08-31,9871.9325,0.0012463330192620248,-0.022046803860278574
2021-09-01,9897.4475,0.0025846003302798515,-0.019519185706537767
2021-09-02,9899.5845,0.00021591425466027658,-0.019307485922310907
