Window_Start,Window_End,Sector,Stock_A,Stock_B,p_value,alpha,beta,Std
2012-06-11,2012-12-10,Information Technology,SMCI,TER,9.770985579989662e-06,-1.4886737096076934,0.7485028183213364,0.03378877126272412
2012-06-11,2012-12-10,Industrials,AME,JBHT,1.091674019545979e-05,0.09819481542063535,0.8546874652411451,0.02682204021328999
2012-06-11,2012-12-10,Consumer Cyclical,KMX,OI,1.2118753396897421e-05,2.0569218294379827,0.4422536872978965,0.05457655809001645
2012-06-11,2012-12-10,Consumer Staples,CHD,MNST,1.3414210556281267e-05,1.981401526010871,0.4436032763216687,0.017914363731155444
2012-06-11,2012-12-10,Health Care,JNJ,MDT,1.4229395535503693e-05,2.9877017290976795,0.23715816798877007,0.012379582532455
2012-07-11,2013-01-10,Communication Services,GOOGL,GOOG,1.7631822135044307e-27,0.0046870514818225795,1.0000000310158719,8.320817993455824e-08
2012-07-11,2013-01-10,Information Technology,SMCI,TER,3.5396355062596497e-06,-1.4851105513761018,0.7463868751504321,0.03363392257566038
2012-07-11,2013-01-10,Industrials,BR,J,3.5707708185213894e-06,0.683914067370482,0.627235077985727,0.017989989955164553
2012-07-11,2013-01-10,Communication Services,CHTR,LUMN,5.454471519609291e-06,-0.4618562906826612,1.6533079472530385,0.0339312729380378
2012-07-11,2013-01-10,Materials,AVY,IP,2.3006006858654215e-05,1.7307818050080077,0.47927699573929583,0.059818030525234614
2012-07-11,2013-01-10,Financials,CPAY,PGR,2.711462711923669e-05,-0.35567739281292343,1.5127010166922563,0.04456026839312388
2012-07-11,2013-01-10,Materials,AVY,DD,2.7143318860656538e-05,1.6951684336414967,0.5359563226578014,0.04835993986926974
2012-07-11,2013-01-10,Consumer Staples,CHD,CL,2.8887600742025945e-05,-2.456877507940222,1.5403096036661736,0.023072166513733852
2012-07-11,2013-01-10,Healthcare,BIO,THC,3.054714353730396e-05,3.045579497424526,0.5209153144505263,0.03241576210995489
2012-07-11,2013-01-10,Industrials,MMM,HII,3.0597993067788584e-05,2.4966151626095767,0.40287908279519447,0.029272513866807327
2012-08-09,2013-02-11,Communication Services,GOOGL,GOOG,1.3005473991821537e-27,0.004687040125776476,1.0000000344541422,8.521230696951106e-08
2012-08-09,2013-02-11,Industrials,MMM,HII,1.406567197142861e-06,2.460838856340091,0.41273174655267725,0.02039289725104329
2012-08-09,2013-02-11,Real Estate,KIM,SLG,4.523593000957377e-06,-1.4863570875259442,1.0051185149513828,0.023743374936226927
2012-08-09,2013-02-11,Industrials,BR,J,6.3357920079223485e-06,0.6904192075446492,0.6246410832869829,0.016959519554104418
2012-08-09,2013-02-11,Communication Services,CHTR,LUMN,7.211775154204239e-06,-0.6729727193804336,1.731013241687359,0.033812167705602865
2012-08-09,2013-02-11,Consumer Cyclical,PVH,M,7.324476056146376e-06,1.9345628399094918,0.791603860292944,0.035278328648254566
2012-08-09,2013-02-11,Information Technology,INTU,TYL,7.759811135007885e-06,2.1654373029899414,0.4871084882537805,0.03108093278490854
2012-08-09,2013-02-11,Information Technology,CSCO,TXN,9.476302291942421e-06,-0.7413606586774939,1.0626212907022183,0.03563382418027678
2012-08-09,2013-02-11,Real Estate,AVB,ESS,1.2501994399521716e-05,0.3456240011276205,0.9046601170624147,0.012399323384447991
2012-08-09,2013-02-11,Health Care,CAH,HCA,1.3704846927932783e-05,3.166824001453997,0.06823994905671163,0.02450637290169708
2012-09-10,2013-03-13,Communication Services,GOOGL,GOOG,2.4386745957377093e-28,0.004687186664877219,0.9999999803259326,9.107090479893052e-08
2012-09-10,2013-03-13,Real Estate,AMT,CPT,6.505428750088541e-07,0.1292722576738563,1.0248790232272729,0.03857405916966019
2012-09-10,2013-03-13,Healthcare,BIO,THC,3.0818370072645436e-06,3.21957438347365,0.4619954898382532,0.028739901392700176
2012-09-10,2013-03-13,Financials,HBAN,WFC,4.678198090509549e-06,-1.288743171153554,0.8479679413207023,0.022610083655508335
2012-09-10,2013-03-13,Information Technology,MSI,TRMB,4.780389492491324e-06,2.4345122477434993,0.3799448812497489,0.02123923422764943
2012-09-10,2013-03-13,Real Estate,AMT,FRT,6.471255881060016e-06,-0.2845865074524283,1.010978858668852,0.020092224874175127
2012-09-10,2013-03-13,Communication Services,CHTR,LUMN,7.625419158720883e-06,-0.7871794893659556,1.7725278463904393,0.03361903578228744
2012-09-10,2013-03-13,Financials,HBAN,RF,7.785744637675482e-06,0.718945487976765,0.43781366221966417,0.031411272741496576
2012-09-10,2013-03-13,Utilities,CMS,WEC,7.949173281526394e-06,0.1627992035701834,0.8007616106611275,0.01201920999912225
2012-09-10,2013-03-13,Utilities,CMS,NEE,8.445775844158881e-06,0.8945732978181009,0.7481462334416185,0.014230336973143989
