Dataset,ReEntry,Method,Top_N,Stop_Loss,Z_Window,Final_Equity,Cum_Ret,Ann_Ret,Sharpe,MDD,Entries,Stop_Losses,Gross_Profit,Gross_Loss,Total_Trades,Win_Rate,Profit_Factor,_path
Current,NoReEntry,HDBSCAN (AE UMAP),5,0.05,60,9275.222,-0.0702104,-0.018034637,-1.401556124548746,-0.07569222,389,171,1396.6751708984375,-2121.453125,785,0.2573248407643312,0.6583577805417866,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top5_SL5_ZWin60.csv
Current,NoReEntry,HDBSCAN (PCA),10,0.0,60,9954.082,-0.0036978126,-0.0010098815,-0.3041379321080347,-0.011150891,311,129,435.37689208984375,-481.294921875,634,0.2744479495268139,0.9045948176509498,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top10_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (PCA),10,0.0,20,9748.172,-0.024170876,-0.0066508055,-1.2946703062753842,-0.025284605,661,111,642.19384765625,-894.0219116210938,1321,0.29295987887963665,0.7183200314316524,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top10_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (PCA),10,0.15,0,9921.183,-0.0076740384,-0.0020987988,-0.5524657343307032,-0.009632686,415,263,310.7958984375,-389.6128845214844,844,0.22393364928909953,0.7977043644724788,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top10_SL15_ZWin0.csv
Current,NoReEntry,HDBSCAN (PCA),10,0.15,20,9748.172,-0.024170876,-0.0066508055,-1.2946703062753842,-0.025284605,661,111,642.19384765625,-894.0219116210938,1321,0.29295987887963665,0.7183200314316524,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top10_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (PCA),10,0.15,60,9955.607,-0.0035452843,-0.00096815825,-0.29400315508809227,-0.011152101,311,130,435.4703674316406,-479.86279296875,634,0.2744479495268139,0.9074893361444667,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top10_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (PCA),10,0.05,0,9921.183,-0.0076740384,-0.0020987988,-0.5524657343307032,-0.009632686,415,263,310.7958984375,-389.6128845214844,844,0.22393364928909953,0.7977043644724788,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top10_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (PCA),10,0.05,20,9713.281,-0.02766323,-0.007621646,-1.671142859607401,-0.028773658,621,125,559.1629638671875,-845.8814697265625,1243,0.28801287208366855,0.6610417462483734,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top10_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (PCA),10,0.05,60,9969.67,-0.002137363,-0.00058335066,-0.20354362454879865,-0.010376851,307,134,424.6767578125,-455.0067138671875,626,0.2715654952076677,0.9333417395165282,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top10_SL5_ZWin60.csv
Current,NoReEntry,HDBSCAN (PCA),5,0.0,0,9908.217,-0.00857836,-0.0023468733,-0.5552144069954312,-0.010071164,158,87,259.4735107421875,-351.25653076171875,323,0.19814241486068113,0.7387008867265904,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top5_SL0_ZWin0.csv
